"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 15 22:05:40 GMT 2024","Sun Sep 15 22:05:40 GMT 2024","55","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
"passed","Sun Sep 15 22:05:40 GMT 2024","Sun Sep 15 22:05:40 GMT 2024","69","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Sun Sep 15 22:05:41 GMT 2024","Sun Sep 15 22:05:41 GMT 2024","98","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"passed","Sun Sep 15 22:05:41 GMT 2024","Sun Sep 15 22:05:41 GMT 2024","76","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Sun Sep 15 22:05:40 GMT 2024","Sun Sep 15 22:05:40 GMT 2024","38","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Sun Sep 15 22:05:40 GMT 2024","Sun Sep 15 22:05:41 GMT 2024","29","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
"failed","Sun Sep 15 22:05:41 GMT 2024","Sun Sep 15 22:05:41 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Sun Sep 15 22:05:40 GMT 2024","Sun Sep 15 22:05:40 GMT 2024","36","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"skipped","Sun Sep 15 22:05:41 GMT 2024","Sun Sep 15 22:05:41 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Sun Sep 15 22:05:41 GMT 2024","Sun Sep 15 22:05:41 GMT 2024","39","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"passed","Sun Sep 15 22:05:39 GMT 2024","Sun Sep 15 22:05:39 GMT 2024","839","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"passed","Sun Sep 15 22:05:40 GMT 2024","Sun Sep 15 22:05:40 GMT 2024","606","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
"passed","Sun Sep 15 22:05:40 GMT 2024","Sun Sep 15 22:05:40 GMT 2024","73","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"passed","Sun Sep 15 22:05:41 GMT 2024","Sun Sep 15 22:05:41 GMT 2024","89","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
