"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 26 15:39:36 GMT 2024","Thu Sep 26 15:39:37 GMT 2024","424","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","avatarGeneratorTest","avatarGeneratorTest",""
"passed","Thu Sep 26 15:39:36 GMT 2024","Thu Sep 26 15:39:36 GMT 2024","46","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsInvalidParamsPage2","getPostsInvalidParamsPage2",""
"passed","Thu Sep 26 15:39:35 GMT 2024","Thu Sep 26 15:39:35 GMT 2024","53","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPost","Get post",""
"passed","Thu Sep 26 15:39:36 GMT 2024","Thu Sep 26 15:39:36 GMT 2024","64","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsParams","Get posts with paging params",""
"passed","Thu Sep 26 15:39:36 GMT 2024","Thu Sep 26 15:39:36 GMT 2024","35","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"failed","Thu Sep 26 15:39:33 GMT 2024","Thu Sep 26 15:39:33 GMT 2024","594","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","addComment","addComment",""
"broken","Thu Sep 26 15:39:35 GMT 2024","Thu Sep 26 15:39:35 GMT 2024","128","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteComment","deleteComment",""
"passed","Thu Sep 26 15:39:36 GMT 2024","Thu Sep 26 15:39:36 GMT 2024","37","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updatePostNotExist","Update post not exists",""
"passed","Thu Sep 26 15:39:35 GMT 2024","Thu Sep 26 15:39:35 GMT 2024","62","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Thu Sep 26 15:39:35 GMT 2024","Thu Sep 26 15:39:35 GMT 2024","41","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostNotExist","Get post not exists",""
"passed","Thu Sep 26 15:39:36 GMT 2024","Thu Sep 26 15:39:36 GMT 2024","33","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"passed","Thu Sep 26 15:39:37 GMT 2024","Thu Sep 26 15:39:37 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","userResponseConstructorTest","userResponseConstructorTest",""
"passed","Thu Sep 26 15:39:35 GMT 2024","Thu Sep 26 15:39:35 GMT 2024","207","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePost","Delete post",""
