"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","38","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getHealth","Actuator health",""
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","31","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","47","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","67","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"failed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","52","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"passed","Mon Sep 16 21:59:46 GMT 2024","Mon Sep 16 21:59:47 GMT 2024","890","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"skipped","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","15","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","85","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","51","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","62","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Mon Sep 16 21:59:47 GMT 2024","Mon Sep 16 21:59:47 GMT 2024","577","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
"passed","Mon Sep 16 21:59:47 GMT 2024","Mon Sep 16 21:59:47 GMT 2024","41","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","57","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
"passed","Mon Sep 16 21:59:48 GMT 2024","Mon Sep 16 21:59:48 GMT 2024","15","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
