"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","63","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","70","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"failed","Wed Sep 18 14:44:24 GMT 2024","Wed Sep 18 14:44:24 GMT 2024","3","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:24 GMT 2024","60","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","65","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Wed Sep 18 14:44:21 GMT 2024","Wed Sep 18 14:44:22 GMT 2024","923","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"skipped","Wed Sep 18 14:44:24 GMT 2024","Wed Sep 18 14:44:24 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","55","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","88","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","34","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","100","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","51","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getHealth","Actuator health",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","62","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Wed Sep 18 14:44:23 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","29","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Wed Sep 18 14:44:22 GMT 2024","Wed Sep 18 14:44:23 GMT 2024","504","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
