"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","36","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","109","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","59","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","90","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","70","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","59","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"skipped","Mon Sep 16 10:29:49 GMT 2024","Mon Sep 16 10:29:49 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","126","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","48","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","24","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
"failed","Mon Sep 16 10:29:49 GMT 2024","Mon Sep 16 10:29:49 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Mon Sep 16 10:29:46 GMT 2024","Mon Sep 16 10:29:47 GMT 2024","1146","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"passed","Mon Sep 16 10:29:48 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","63","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Mon Sep 16 10:29:47 GMT 2024","Mon Sep 16 10:29:48 GMT 2024","570","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
