"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updatePostNotExist","Update post not exists",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePostNotExist","Delete post not exists",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePost","Delete post",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteCommentPostNotExist","deleteCommentPostNotExist",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","createPost","Create post",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","userInfo","User info",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPost","Get post",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsInvalidParamsSize","getPostsInvalidParamsSize",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"passed","Thu Sep 26 16:05:50 GMT 2024","Thu Sep 26 16:05:50 GMT 2024","17","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","postGeneratorTest","postGeneratorTest",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getHealth","Actuator health",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostNotExist","Get post not exists",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsInvalidParamsPage","getPostsInvalidParamsPage",""
"skipped","Thu Sep 26 16:05:49 GMT 2024","Thu Sep 26 16:05:49 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostUnauthorized","Unauthorized access to get post",""
