"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 15 22:13:27 GMT 2024","Sun Sep 15 22:13:27 GMT 2024","456","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
"passed","Sun Sep 15 22:13:27 GMT 2024","Sun Sep 15 22:13:27 GMT 2024","51","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"failed","Sun Sep 15 22:13:28 GMT 2024","Sun Sep 15 22:13:28 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Sun Sep 15 22:13:27 GMT 2024","Sun Sep 15 22:13:27 GMT 2024","55","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
"passed","Sun Sep 15 22:13:28 GMT 2024","Sun Sep 15 22:13:28 GMT 2024","34","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
"skipped","Sun Sep 15 22:13:28 GMT 2024","Sun Sep 15 22:13:28 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Sun Sep 15 22:13:28 GMT 2024","Sun Sep 15 22:13:28 GMT 2024","54","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
"passed","Sun Sep 15 22:13:26 GMT 2024","Sun Sep 15 22:13:27 GMT 2024","1108","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"passed","Sun Sep 15 22:13:28 GMT 2024","Sun Sep 15 22:13:28 GMT 2024","99","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Sun Sep 15 22:13:28 GMT 2024","Sun Sep 15 22:13:28 GMT 2024","62","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"passed","Sun Sep 15 22:13:27 GMT 2024","Sun Sep 15 22:13:27 GMT 2024","60","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Sun Sep 15 22:13:28 GMT 2024","Sun Sep 15 22:13:28 GMT 2024","48","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"passed","Sun Sep 15 22:13:27 GMT 2024","Sun Sep 15 22:13:28 GMT 2024","41","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"passed","Sun Sep 15 22:13:27 GMT 2024","Sun Sep 15 22:13:27 GMT 2024","80","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
