"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 17:34:40 GMT 2024","Mon Sep 16 17:34:40 GMT 2024","62","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"passed","Mon Sep 16 17:34:39 GMT 2024","Mon Sep 16 17:34:39 GMT 2024","71","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Mon Sep 16 17:34:40 GMT 2024","Mon Sep 16 17:34:40 GMT 2024","39","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"skipped","Mon Sep 16 17:34:40 GMT 2024","Mon Sep 16 17:34:40 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Mon Sep 16 17:34:39 GMT 2024","Mon Sep 16 17:34:39 GMT 2024","41","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Mon Sep 16 17:34:39 GMT 2024","Mon Sep 16 17:34:39 GMT 2024","31","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Mon Sep 16 17:34:39 GMT 2024","Mon Sep 16 17:34:39 GMT 2024","36","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getHealth","Actuator health",""
"passed","Mon Sep 16 17:34:37 GMT 2024","Mon Sep 16 17:34:38 GMT 2024","992","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"passed","Mon Sep 16 17:34:40 GMT 2024","Mon Sep 16 17:34:40 GMT 2024","17","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
"passed","Mon Sep 16 17:34:40 GMT 2024","Mon Sep 16 17:34:40 GMT 2024","93","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Mon Sep 16 17:34:40 GMT 2024","Mon Sep 16 17:34:40 GMT 2024","77","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
"passed","Mon Sep 16 17:34:39 GMT 2024","Mon Sep 16 17:34:39 GMT 2024","44","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"failed","Mon Sep 16 17:34:40 GMT 2024","Mon Sep 16 17:34:40 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Mon Sep 16 17:34:39 GMT 2024","Mon Sep 16 17:34:39 GMT 2024","627","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
"passed","Mon Sep 16 17:34:39 GMT 2024","Mon Sep 16 17:34:39 GMT 2024","56","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
