"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 26 15:41:59 GMT 2024","Thu Sep 26 15:41:59 GMT 2024","49","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePostNotExist","Delete post not exists",""
"broken","Thu Sep 26 15:41:59 GMT 2024","Thu Sep 26 15:41:59 GMT 2024","72","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","createPost","Create post",""
"broken","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","67","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updateComment","updateComment",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","37","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostUnauthorized","Unauthorized access to get post",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","48","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPost","Get post",""
"broken","Thu Sep 26 15:41:59 GMT 2024","Thu Sep 26 15:41:59 GMT 2024","180","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteComment","deleteComment",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","51","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostNotExist","Get post not exists",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","35","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"passed","Thu Sep 26 15:42:01 GMT 2024","Thu Sep 26 15:42:01 GMT 2024","44","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","userInfo","User info",""
"failed","Thu Sep 26 15:41:57 GMT 2024","Thu Sep 26 15:41:57 GMT 2024","707","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","addComment","addComment",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","58","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsInvalidParamsPage2","getPostsInvalidParamsPage2",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","38","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsInvalidParamsSize","getPostsInvalidParamsSize",""
"passed","Thu Sep 26 15:41:59 GMT 2024","Thu Sep 26 15:41:59 GMT 2024","198","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePost","Delete post",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","48","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsParams","Get posts with paging params",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","46","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","86","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getHealth","Actuator health",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","49","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"failed","Thu Sep 26 15:42:01 GMT 2024","Thu Sep 26 15:42:01 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","failedTest","Failed test",""
"passed","Thu Sep 26 15:42:01 GMT 2024","Thu Sep 26 15:42:01 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","postGeneratorTest","postGeneratorTest",""
"broken","Thu Sep 26 15:41:59 GMT 2024","Thu Sep 26 15:41:59 GMT 2024","132","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteCommentNotExist","deleteCommentNotExist",""
"passed","Thu Sep 26 15:41:59 GMT 2024","Thu Sep 26 15:41:59 GMT 2024","60","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","175","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPosts","Get posts",""
"skipped","Thu Sep 26 15:42:01 GMT 2024","Thu Sep 26 15:42:01 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","skippedTest","Skipped test",""
"passed","Thu Sep 26 15:41:59 GMT 2024","Thu Sep 26 15:41:59 GMT 2024","63","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","45","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"passed","Thu Sep 26 15:42:01 GMT 2024","Thu Sep 26 15:42:01 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","userResponseConstructorTest","userResponseConstructorTest",""
"broken","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","69","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updatePost","Update post",""
"passed","Thu Sep 26 15:42:01 GMT 2024","Thu Sep 26 15:42:01 GMT 2024","403","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","avatarGeneratorTest","avatarGeneratorTest",""
"passed","Thu Sep 26 15:42:00 GMT 2024","Thu Sep 26 15:42:00 GMT 2024","66","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsInvalidParamsPage","getPostsInvalidParamsPage",""
"broken","Thu Sep 26 15:41:59 GMT 2024","Thu Sep 26 15:41:59 GMT 2024","54","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteCommentPostNotExist","deleteCommentPostNotExist",""
