"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 10:22:14 GMT 2024","Mon Sep 16 10:22:14 GMT 2024","575","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
"passed","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","67","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
"passed","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","93","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
"passed","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","126","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Mon Sep 16 10:22:14 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","45","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","86","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"failed","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","46","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"passed","Mon Sep 16 10:22:14 GMT 2024","Mon Sep 16 10:22:14 GMT 2024","44","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"skipped","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Mon Sep 16 10:22:13 GMT 2024","Mon Sep 16 10:22:14 GMT 2024","1015","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"passed","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","47","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"passed","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","75","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Mon Sep 16 10:22:15 GMT 2024","Mon Sep 16 10:22:15 GMT 2024","42","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
