"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 18:09:36 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","80","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Mon Sep 16 18:09:36 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","55","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"passed","Mon Sep 16 18:09:35 GMT 2024","Mon Sep 16 18:09:35 GMT 2024","56","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Mon Sep 16 18:09:36 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","45","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"passed","Mon Sep 16 18:09:35 GMT 2024","Mon Sep 16 18:09:35 GMT 2024","38","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Mon Sep 16 18:09:36 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","72","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
"passed","Mon Sep 16 18:09:35 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","31","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getHealth","Actuator health",""
"failed","Mon Sep 16 18:09:36 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","11","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"skipped","Mon Sep 16 18:09:36 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Mon Sep 16 18:09:36 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","91","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"passed","Mon Sep 16 18:09:34 GMT 2024","Mon Sep 16 18:09:35 GMT 2024","896","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"passed","Mon Sep 16 18:09:35 GMT 2024","Mon Sep 16 18:09:35 GMT 2024","49","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Mon Sep 16 18:09:36 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","21","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
"passed","Mon Sep 16 18:09:35 GMT 2024","Mon Sep 16 18:09:35 GMT 2024","544","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
"passed","Mon Sep 16 18:09:36 GMT 2024","Mon Sep 16 18:09:36 GMT 2024","59","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
