"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 19:31:00 GMT 2024","Wed Sep 18 19:31:00 GMT 2024","41","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostUnauthorized","Unauthorized access to get post",""
"passed","Wed Sep 18 19:31:00 GMT 2024","Wed Sep 18 19:31:00 GMT 2024","67","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","userInfo","User info",""
"passed","Wed Sep 18 19:30:59 GMT 2024","Wed Sep 18 19:31:00 GMT 2024","35","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostNotExist","Get post not exists",""
"passed","Wed Sep 18 19:31:00 GMT 2024","Wed Sep 18 19:31:00 GMT 2024","61","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updatePostNotExist","Update post not exists",""
"passed","Wed Sep 18 19:30:59 GMT 2024","Wed Sep 18 19:30:59 GMT 2024","111","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getExceptionRequest","Get method that throws exception",""
"skipped","Wed Sep 18 19:31:01 GMT 2024","Wed Sep 18 19:31:01 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","skippedTest","Skipped test",""
"passed","Wed Sep 18 19:30:59 GMT 2024","Wed Sep 18 19:30:59 GMT 2024","108","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getHealth","Actuator health",""
"passed","Wed Sep 18 19:30:59 GMT 2024","Wed Sep 18 19:30:59 GMT 2024","36","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Wed Sep 18 19:31:00 GMT 2024","Wed Sep 18 19:31:00 GMT 2024","124","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPosts","Get posts",""
"failed","Wed Sep 18 19:31:01 GMT 2024","Wed Sep 18 19:31:01 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","failedTest","Failed test",""
"passed","Wed Sep 18 19:31:00 GMT 2024","Wed Sep 18 19:31:00 GMT 2024","101","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsEmptyParams","Get posts with empty paging params",""
"passed","Wed Sep 18 19:31:00 GMT 2024","Wed Sep 18 19:31:01 GMT 2024","359","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","avatarGeneratorTest","avatarGeneratorTest",""
"passed","Wed Sep 18 19:31:00 GMT 2024","Wed Sep 18 19:31:00 GMT 2024","64","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updatePost","Update post",""
"passed","Wed Sep 18 19:30:59 GMT 2024","Wed Sep 18 19:30:59 GMT 2024","43","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Wed Sep 18 19:31:00 GMT 2024","Wed Sep 18 19:31:00 GMT 2024","75","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsParams","Get posts with paging params",""
"passed","Wed Sep 18 19:30:59 GMT 2024","Wed Sep 18 19:30:59 GMT 2024","494","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePost","Delete post",""
"passed","Wed Sep 18 19:31:01 GMT 2024","Wed Sep 18 19:31:01 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","userResponseConstructorTest","userResponseConstructorTest",""
"passed","Wed Sep 18 19:31:01 GMT 2024","Wed Sep 18 19:31:01 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","postGeneratorTest","postGeneratorTest",""
"passed","Wed Sep 18 19:30:59 GMT 2024","Wed Sep 18 19:30:59 GMT 2024","66","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPost","Get post",""
"passed","Wed Sep 18 19:30:58 GMT 2024","Wed Sep 18 19:30:59 GMT 2024","760","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","createPost","Create post",""
