"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 15 20:11:07 GMT 2024","Sun Sep 15 20:11:08 GMT 2024","934","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"skipped","Sun Sep 15 20:11:09 GMT 2024","Sun Sep 15 20:11:09 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Sun Sep 15 20:11:08 GMT 2024","Sun Sep 15 20:11:08 GMT 2024","60","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Sun Sep 15 20:11:08 GMT 2024","Sun Sep 15 20:11:09 GMT 2024","99","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Sun Sep 15 20:11:08 GMT 2024","Sun Sep 15 20:11:08 GMT 2024","607","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
"passed","Sun Sep 15 20:11:09 GMT 2024","Sun Sep 15 20:11:09 GMT 2024","64","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"passed","Sun Sep 15 20:11:09 GMT 2024","Sun Sep 15 20:11:09 GMT 2024","77","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
"passed","Sun Sep 15 20:11:09 GMT 2024","Sun Sep 15 20:11:09 GMT 2024","55","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"failed","Sun Sep 15 20:11:09 GMT 2024","Sun Sep 15 20:11:09 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Sun Sep 15 20:11:09 GMT 2024","Sun Sep 15 20:11:09 GMT 2024","86","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"passed","Sun Sep 15 20:11:09 GMT 2024","Sun Sep 15 20:11:09 GMT 2024","86","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
