"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","2261","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteComment","deleteComment",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","2143","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","createPost","Create post",""
"passed","Mon Oct 28 18:23:07 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","500","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updateComment","updateComment",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","2367","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePost","Delete post",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","2157","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPost","Get post",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:06 GMT 2024","314","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostNotExist","Get post not exists",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:06 GMT 2024","139","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:06 GMT 2024","217","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getHealth","Actuator health",""
"skipped","Mon Oct 28 18:23:02 GMT 2024","Mon Oct 28 18:23:02 GMT 2024","16","ParallelTests","All tests","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","skippedTest","Skipped test",""
"failed","Mon Oct 28 18:23:02 GMT 2024","Mon Oct 28 18:23:02 GMT 2024","17","ParallelTests","All tests","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","failedTest","Failed test",""
"passed","Mon Oct 28 18:23:07 GMT 2024","Mon Oct 28 18:23:07 GMT 2024","174","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsInvalidParamsPage2","getPostsInvalidParamsPage2",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:07 GMT 2024","1130","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Mon Oct 28 18:23:08 GMT 2024","Mon Oct 28 18:23:09 GMT 2024","434","ParallelTests","All tests","com.github.aceton41k.api.AsyncTasksTest","com.github.aceton41k.api.AsyncTasksTest","getAllTasks","getAllTasks",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:07 GMT 2024","1159","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteCommentNotExist","deleteCommentNotExist",""
"passed","Mon Oct 28 18:23:02 GMT 2024","Mon Oct 28 18:23:02 GMT 2024","16","ParallelTests","All tests","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","userResponseConstructorTest","userResponseConstructorTest",""
"passed","Mon Oct 28 18:23:07 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","1033","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updatePost","Update post",""
"passed","Mon Oct 28 18:23:08 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","151","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","userInfo","User info",""
"passed","Mon Oct 28 18:23:02 GMT 2024","Mon Oct 28 18:23:03 GMT 2024","875","ParallelTests","All tests","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","avatarGeneratorTest","avatarGeneratorTest",""
"passed","Mon Oct 28 18:23:08 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","258","ParallelTests","All tests","com.github.aceton41k.api.AsyncTasksTest","com.github.aceton41k.api.AsyncTasksTest","getTask","Get task",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","2154","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","addComment","addComment",""
"passed","Mon Oct 28 18:23:06 GMT 2024","Mon Oct 28 18:23:07 GMT 2024","1153","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteCommentPostNotExist","deleteCommentPostNotExist",""
"passed","Mon Oct 28 18:23:07 GMT 2024","Mon Oct 28 18:23:08 GMT 2024","184","ParallelTests","All tests","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
