"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 15:03:41 GMT 2024","Wed Sep 18 15:03:41 GMT 2024","26","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Wed Sep 18 15:03:40 GMT 2024","Wed Sep 18 15:03:40 GMT 2024","845","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"passed","Wed Sep 18 15:03:41 GMT 2024","Wed Sep 18 15:03:42 GMT 2024","101","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Wed Sep 18 15:03:42 GMT 2024","Wed Sep 18 15:03:42 GMT 2024","63","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"passed","Wed Sep 18 15:03:41 GMT 2024","Wed Sep 18 15:03:41 GMT 2024","42","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"skipped","Wed Sep 18 15:03:42 GMT 2024","Wed Sep 18 15:03:42 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Wed Sep 18 15:03:42 GMT 2024","Wed Sep 18 15:03:42 GMT 2024","51","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
"passed","Wed Sep 18 15:03:41 GMT 2024","Wed Sep 18 15:03:41 GMT 2024","49","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getHealth","Actuator health",""
"passed","Wed Sep 18 15:03:41 GMT 2024","Wed Sep 18 15:03:41 GMT 2024","60","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Wed Sep 18 15:03:41 GMT 2024","Wed Sep 18 15:03:41 GMT 2024","46","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
"passed","Wed Sep 18 15:03:41 GMT 2024","Wed Sep 18 15:03:41 GMT 2024","48","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"failed","Wed Sep 18 15:03:42 GMT 2024","Wed Sep 18 15:03:42 GMT 2024","6","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Wed Sep 18 15:03:41 GMT 2024","Wed Sep 18 15:03:41 GMT 2024","530","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
"passed","Wed Sep 18 15:03:42 GMT 2024","Wed Sep 18 15:03:42 GMT 2024","35","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"passed","Wed Sep 18 15:03:41 GMT 2024","Wed Sep 18 15:03:41 GMT 2024","16","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
