"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 26 16:17:05 GMT 2024","Thu Sep 26 16:17:05 GMT 2024","45","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","38","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updatePostNotExist","Update post not exists",""
"passed","Thu Sep 26 16:17:05 GMT 2024","Thu Sep 26 16:17:05 GMT 2024","117","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deletePost","Delete post",""
"passed","Thu Sep 26 16:17:05 GMT 2024","Thu Sep 26 16:17:05 GMT 2024","49","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getExceptionRequest","Get method that throws exception",""
"passed","Thu Sep 26 16:17:07 GMT 2024","Thu Sep 26 16:17:07 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","postGeneratorTest","postGeneratorTest",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","54","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","userInfo","User info",""
"failed","Thu Sep 26 16:17:07 GMT 2024","Thu Sep 26 16:17:07 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","failedTest","Failed test",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","57","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updatePost","Update post",""
"passed","Thu Sep 26 16:17:07 GMT 2024","Thu Sep 26 16:17:07 GMT 2024","442","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","avatarGeneratorTest","avatarGeneratorTest",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","153","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","updateComment","updateComment",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","53","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"passed","Thu Sep 26 16:17:04 GMT 2024","Thu Sep 26 16:17:05 GMT 2024","625","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteComment","deleteComment",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","35","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsInvalidParamsPage2","getPostsInvalidParamsPage2",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","47","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","48","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsInvalidParamsPage","getPostsInvalidParamsPage",""
"skipped","Thu Sep 26 16:17:07 GMT 2024","Thu Sep 26 16:17:07 GMT 2024","1","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","skippedTest","Skipped test",""
"passed","Thu Sep 26 16:17:04 GMT 2024","Thu Sep 26 16:17:04 GMT 2024","96","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","createPost","Create post",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","65","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsParams","Get posts with paging params",""
"passed","Thu Sep 26 16:17:06 GMT 2024","Thu Sep 26 16:17:06 GMT 2024","54","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","getPostsPageParams","Get posts with empty paging params",""
"passed","Thu Sep 26 16:17:05 GMT 2024","Thu Sep 26 16:17:05 GMT 2024","116","Gradle suite","Gradle test","com.github.aceton41k.api.AppTests","com.github.aceton41k.api.AppTests","deleteCommentNotExist","deleteCommentNotExist",""
"passed","Thu Sep 26 16:17:07 GMT 2024","Thu Sep 26 16:17:07 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.unit.UnitTests","com.github.aceton41k.unit.UnitTests","userResponseConstructorTest","userResponseConstructorTest",""
